stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1530,1530,QUAKER RIDGE RD @ PONDVIEW LA,,40.952375,-73.785434,,,,,,0
1531,1531,QUAKER RIDGE RD @ SKYVIEW LA,,40.954198,-73.781579,,,,,,0
1532,1532,QUAKER RIDGE RD @ PINEBROOK BLVD,,40.955984,-73.777868,,,,,,0
1533,1533,PINEBROOK BLVD @ TULIP LA,,40.960375,-73.779438,,,,,,0
1534,1534,PINEBROOK BLVD @ RAMONA CT,,40.967202,-73.777629,,,,,,0
1535,1535,STRATTON RD @ PINEBROOK BLVD,,40.97085,-73.77743,,,,,,0
1536,1536,WAVERLY RD @ STRATTON RD,,40.972045,-73.779422,,,,,,0
1537,1537,WAVERLY RD @ DAISY FARMS RD,,40.974042,-73.779798,,,,,,0
1538,1538,DONNYBROOK RD @ WAVERLY RD,,40.976381,-73.781803,,,,,,0
1539,1539,DONNYBROOK RD @ TOP OF RIDGE DR,,40.975348,-73.783845,,,,,,0
1540,1540,TOP OF RIDGE DR @ WILMOT RD,,40.978249,-73.785849,,,,,,0
1541,1541,WILMOT RD @ WILMOT CIR,,40.977594,-73.78758,,,,,,0
1543,1543,GRAND BLVD @ DORA LA,,40.973569,-73.787037,,,,,,0
1544,1544,GRAND BLVD @ ROGERS DR,,40.972029,-73.786631,,,,,,0
1545,1545,GRAND BLVD @ STRATTON RD,,40.969126,-73.784565,,,,,,0
1546,1546,STRATTON RD @ MOHEGAN PL,,40.970325,-73.781537,,,,,,0
1547,1547,STRATTON RD @ WAVERLY RD,,40.971781,-73.779203,,,,,,0
1548,1548,STRATTON RD @ PINEBROOK BLVD,,40.970719,-73.776838,,,,,,0
1549,1549,PINEBROOK BLVD @ RAMONA CT,,40.967282,-73.777774,,,,,,0
1550,1550,PINEBROOK BLVD @ TULIP LA,,40.960449,-73.779819,,,,,,0
1551,1551,QUAKER RIDGE RD @ PINEBROOK BLVD,,40.955814,-73.778601,,,,,,0
1552,1552,QUAKER RIDGE RD @ BROADFIELD RD,,40.95431,-73.781688,,,,,,0
1553,1553,QUAKER RIDGE RD @ PONDVIEW LA,,40.952475,-73.78567,,,,,,0
1554,1554,QUAKER RIDGE RD @ VAN METER FENWAY,180 QUAKER RIDGE RD & VAN METER FENWAY,40.949622,-73.791554,,,,,,0
1555,1555,NORTH AV @ ROOSEVELT TERRACE,NORTH AVE & DISBROW LA,40.945062,-73.7955,,,,,,0
1556,1556,NORTH AVE @ DISBROW LA,,40.9422,-73.794683,,,,,,0
1557,1557,NORTH AVE @ SEACORD RD,,40.938974,-73.79363,,,,,,0
1558,1558,NORTH AVE @ CALTON LA,,40.935802,-73.79244,,,,,,0
1559,1559,NORTH AVE @ BRAEMAR AVE,,40.932612,-73.791216,,,,,,0
1560,1560,NORTH AVE @ NEW ROCHELLE HS,,40.929868,-73.790233,,,,,,0
1561,1561,NORTH AVE @ EASTCHESTER RD,,40.927735,-73.789554,,,,,,0
1563,1563,NORTH AVE @ SUMMIT AVE,,40.925235,-73.788536,,,,,,0
1564,1564,NORTH AVE @ MAYFLOWER AVE,,40.923847,-73.787817,,,,,,0
